0.0,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
The Guardian ,3,10,1,10,3,9,10,14,6,5,3,9,3,5,11,7,5,6,5,6,
NBC News,4,5,5,17,7,8,19,9,9,5,4,15,5,12,11,13,10,13,5,12,
Forbes,6,16,10,37,6,8,26,18,21,17,12,38,15,6,23,21,9,26,21,16,
Daily Mail Online,2,5,3,16,4,11,14,2,2,6,3,8,7,8,6,8,5,10,8,11,
ABC News,4,4,1,10,8,1,10,6,4,5,7,4,3,7,1,10,8,4,5,4,
Business Insider,3,16,3,13,4,13,39,18,19,15,10,13,17,6,28,22,12,7,25,13,
Washington Post,3,11,2,17,11,5,21,10,6,11,9,8,11,9,9,13,6,17,17,14,
CNN,2,10,3,10,10,9,14,13,14,6,12,9,4,8,13,5,16,7,8,13,
The Independent,6,27,4,33,5,16,27,9,17,16,13,21,20,5,21,23,14,18,16,18,
Mashable,3,13,4,18,7,6,21,13,18,12,12,15,10,3,14,14,9,15,24,4,
Wall Street Journal,6,10,6,6,10,7,12,9,9,9,7,11,10,12,10,12,13,9,14,12,

0.1,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,109,0,41,7,8,6,2,3,10,2,6,5,1,5,2,6,9,4,0,5,
The Telegraph,0,12,2,5,6,5,5,2,3,12,5,5,6,4,4,8,6,12,2,3,
ESPN,60,6,86,7,9,4,3,10,13,5,4,9,5,5,6,3,6,0,4,8,
Huffington Post,0,4,5,17,7,3,8,7,7,8,8,4,8,11,4,12,6,6,8,6,
Fox News,14,5,11,11,8,6,5,8,7,5,6,2,1,8,3,6,13,5,4,4,
BBC News (UK),11,8,14,7,7,14,6,11,8,11,2,11,6,6,12,6,6,8,10,4,
BuzzFeed,6,8,4,10,5,6,24,16,13,10,8,13,15,5,22,8,15,14,14,13,
The New York Times,0,4,7,11,9,5,9,11,6,3,7,3,5,10,9,7,11,5,6,7,
Yahoo,3,7,5,12,4,9,20,11,16,6,8,9,4,9,18,13,10,3,15,9,
The Guardian ,0,2,3,7,2,19,12,3,6,4,3,4,5,4,5,2,8,6,2,2,
NBC News,11,6,16,11,7,5,4,13,5,8,7,5,7,5,6,10,7,0,12,6,
Forbes,4,12,6,11,8,4,19,10,5,14,4,34,13,13,11,12,9,21,13,15,
Daily Mail Online,3,8,3,9,3,9,7,5,3,6,8,9,7,4,7,8,6,7,8,3,
ABC News,6,8,5,7,18,7,7,10,9,0,13,6,1,22,8,11,13,6,2,3,
Business Insider,0,16,5,12,6,12,17,12,6,17,10,7,15,4,26,15,14,13,11,16,
Washington Post,7,7,4,7,9,6,10,4,11,6,12,6,4,4,11,12,10,7,10,12,
CNN,3,5,2,9,13,4,12,10,9,8,9,6,5,13,12,9,21,5,9,12,
The Independent,2,10,1,11,10,5,22,5,5,9,6,23,17,13,18,10,7,19,19,10,
Mashable,1,10,4,10,2,8,11,8,7,6,2,9,3,4,12,13,3,13,14,5,
Wall Street Journal,5,10,8,8,6,5,4,7,8,1,12,8,3,3,13,11,14,4,8,10,

0.11,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,151,0,69,4,6,4,3,6,21,2,7,11,2,6,8,2,0,1,6,4,
The Telegraph,3,9,4,6,7,6,6,6,3,5,4,4,5,4,6,3,6,6,5,4,
ESPN,53,3,101,12,5,9,6,4,20,2,9,8,2,2,5,5,6,3,9,6,
Huffington Post,6,1,3,5,11,3,10,7,4,2,2,10,4,12,6,8,6,1,4,6,
Fox News,9,4,14,7,21,1,5,9,17,7,13,5,5,23,5,7,11,1,8,7,
BBC News (UK),3,8,5,8,2,9,9,3,5,7,8,2,6,8,5,4,7,6,8,4,
BuzzFeed,2,9,4,15,4,5,14,6,5,6,5,13,9,4,8,8,9,13,12,11,
The New York Times,3,2,4,4,10,2,15,12,6,7,9,5,7,17,9,7,13,7,4,5,
Yahoo,9,5,6,3,11,1,8,19,8,4,6,9,5,8,9,11,14,1,20,7,
The Guardian ,1,5,5,2,9,7,5,6,5,5,6,2,3,13,2,3,9,2,8,1,
NBC News,12,3,8,4,4,2,8,12,7,7,10,2,6,20,6,1,11,2,9,6,
Forbes,2,9,3,8,5,3,18,9,7,6,5,19,7,6,11,15,2,8,9,3,
Daily Mail Online,7,6,2,4,10,1,11,4,5,7,7,4,10,9,4,6,7,5,4,3,
ABC News,8,9,8,4,35,4,5,8,13,20,23,2,8,29,5,5,17,2,17,8,
Business Insider,13,6,5,7,11,3,9,10,11,7,4,8,10,9,10,10,17,5,8,12,
Washington Post,6,7,4,7,7,0,7,4,11,7,6,5,3,8,6,10,5,4,2,8,
CNN,6,6,2,6,19,2,6,13,11,5,12,1,3,19,8,8,22,2,11,7,
The Independent,6,5,4,5,2,11,11,6,3,8,4,13,13,7,6,6,2,9,5,4,
