0.0,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Wall Street Journal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,

0.27,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Telegraph,0,4,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,1,0,
ESPN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Huffington Post,0,1,0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,0,
Fox News,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,1,0,3,
BBC News (UK),0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
BuzzFeed,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2,1,1,0,
The New York Times,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Yahoo,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,
The Guardian ,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,1,0,0,
NBC News,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
Forbes,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,
Daily Mail Online,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ABC News,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,
Business Insider,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,
Washington Post,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,5,0,0,1,1,
CNN,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,
The Independent,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Mashable,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,
Wall Street Journal,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,

0.28,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Telegraph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Huffington Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fox News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BBC News (UK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BuzzFeed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The New York Times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yahoo,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,
The Guardian ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NBC News,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Forbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Daily Mail Online,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABC News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Business Insider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Washington Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
The Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Mashable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Wall Street Journal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,

0.29,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,
The Telegraph,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,
ESPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Huffington Post,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
Fox News,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
BBC News (UK),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
BuzzFeed,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,
The New York Times,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
Yahoo,1,1,2,0,0,0,0,0,1,0,2,0,0,0,0,1,2,0,0,1,
The Guardian ,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,
NBC News,1,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,
Forbes,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,
Daily Mail Online,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,
ABC News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Business Insider,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Washington Post,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,
CNN,0,1,0,0,3,0,0,0,0,1,2,0,0,2,1,0,4,0,0,0,
The Independent,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
Mashable,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,
Wall Street Journal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.3,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Telegraph,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
ESPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Huffington Post,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Fox News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BBC News (UK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
BuzzFeed,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,
The New York Times,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Yahoo,1,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,
The Guardian ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
NBC News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Forbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Daily Mail Online,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ABC News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Business Insider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,
Washington Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,
CNN,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,
The Independent,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mashable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,
Wall Street Journal,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,

0.31,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
The Telegraph,0,1,0,0,2,0,1,1,0,2,1,0,1,0,0,0,0,1,0,0,
ESPN,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Huffington Post,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
Fox News,0,2,0,0,1,0,0,1,1,0,1,0,1,3,0,2,0,0,0,1,
BBC News (UK),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BuzzFeed,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,
The New York Times,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Yahoo,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,
The Guardian ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NBC News,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,
Forbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Daily Mail Online,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,
ABC News,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,
Business Insider,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Washington Post,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
CNN,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
The Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mashable,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
Wall Street Journal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,

0.32,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Telegraph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESPN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Huffington Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fox News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BBC News (UK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BuzzFeed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The New York Times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yahoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Guardian ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NBC News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Forbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Daily Mail Online,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABC News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Business Insider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Washington Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
The Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mashable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Wall Street Journal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.33,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,
The Telegraph,0,5,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
ESPN,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Huffington Post,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fox News,0,0,0,0,1,1,0,1,0,1,1,0,0,5,0,0,0,0,0,1,
BBC News (UK),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BuzzFeed,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,
The New York Times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yahoo,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,0,0,0,
The Guardian ,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,
NBC News,0,1,0,1,1,0,0,0,2,0,3,0,1,1,0,0,1,0,0,0,
Forbes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,
Daily Mail Online,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABC News,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,
Business Insider,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,
Washington Post,0,0,0,0,0,0,0,1,2,0,1,0,0,1,1,1,0,1,0,0,
CNN,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,
The Independent,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,
Mashable,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,
Wall Street Journal,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,

0.35,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Telegraph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Huffington Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fox News,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BBC News (UK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BuzzFeed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The New York Times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yahoo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
The Guardian ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NBC News,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
Forbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Daily Mail Online,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
ABC News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Business Insider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Washington Post,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CNN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
The Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mashable,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wall Street Journal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.36,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
The Telegraph,1,2,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,
ESPN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Huffington Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Fox News,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
BBC News (UK),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
BuzzFeed,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
The New York Times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yahoo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,
The Guardian ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
NBC News,0,0,0,0,2,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,
Forbes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Daily Mail Online,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
ABC News,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,
Business Insider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Washington Post,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,
CNN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
The Independent,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mashable,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Wall Street Journal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,

0.38,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Telegraph,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
ESPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Huffington Post,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Fox News,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
BBC News (UK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,
BuzzFeed,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
The New York Times,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Yahoo,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Guardian ,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
NBC News,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,0,
Forbes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Daily Mail Online,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
ABC News,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Business Insider,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Washington Post,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
CNN,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
The Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Mashable,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Wall Street Journal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.39,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
The Telegraph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Huffington Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fox News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BBC News (UK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BuzzFeed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The New York Times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yahoo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Guardian ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NBC News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Forbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Daily Mail Online,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABC News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Business Insider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Washington Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mashable,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Wall Street Journal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.4,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Telegraph,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ESPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Huffington Post,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fox News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BBC News (UK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
BuzzFeed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The New York Times,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Yahoo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
The Guardian ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NBC News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Forbes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Daily Mail Online,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
ABC News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Business Insider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Washington Post,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CNN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
The Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mashable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
Wall Street Journal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.41,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Telegraph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Huffington Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fox News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BBC News (UK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BuzzFeed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The New York Times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Yahoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Guardian ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NBC News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Forbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Daily Mail Online,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABC News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Business Insider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
